miRBaseName,count,mean,std,min,25%,50%,75%,max
hsa-miR-6785-5p,21.0,1.7949701354617855,8.22558651593877,0.0,0.0,0.0,0.0,37.6943728446975
hsa-miR-6786-5p,21.0,2.7949087363746763,12.807880844930331,0.0,0.0,0.0,0.0,58.6930834638682
hsa-miR-6787-3p,21.0,0.1661078658964986,0.7612018689982784,0.0,0.0,0.0,0.0,3.48826518382647
hsa-miR-6787-5p,21.0,0.4904809763467947,1.6586193969398517,0.0,0.0,0.0,0.0,7.0243947024508
hsa-miR-6789-5p,21.0,3.2910279645293716,15.081384761672288,0.0,0.0,0.0,0.0,69.1115872551168
hsa-miR-6790-3p,21.0,0.5093749377417713,2.334249209315086,0.0,0.0,0.0,0.0,10.6968736925772
hsa-miR-6790-5p,21.0,0.07102890722171715,0.32549534387351436,0.0,0.0,0.0,0.0,1.49160705165606
hsa-miR-6793-5p,21.0,20.677328591376206,82.23617814641275,0.0,0.0,0.0,0.0,375.161265845836
hsa-miR-6794-3p,21.0,3.093757049065276,14.177375859144837,0.0,0.0,0.0,0.0,64.9688980303708
hsa-miR-6796-3p,21.0,1.4732176424120333,6.751131361497528,0.0,0.0,0.0,0.0,30.9375704906527
hsa-miR-6797-3p,21.0,0.3745868865109162,1.7165727617741062,0.0,0.0,0.0,0.0,7.86632461672924
hsa-miR-6798-5p,21.0,0.51718628491144,1.7625413933177756,0.0,0.0,0.0,0.0,7.5243105029584
hsa-miR-6799-5p,21.0,3.7924150128934193,17.37902886327102,0.0,0.0,0.0,0.0,79.6407152707618
hsa-miR-6800-5p,21.0,1.0441065856351333,4.784697462274891,0.0,0.0,0.0,0.0,21.9262382983378
hsa-miR-6802-3p,21.0,0.025847339814212906,0.11844739121187645,0.0,0.0,0.0,0.0,0.542794136098471
hsa-miR-6802-5p,21.0,13.547206033350427,44.396154104470725,0.0,0.0,0.0,0.0,179.707478035296
hsa-miR-6803-3p,21.0,5.183576887445448,18.923032852749508,0.0,0.0,0.0,0.0,84.4372583495691
hsa-miR-6804-3p,21.0,0.15204317537772286,0.6967493600698609,0.0,0.0,0.0,0.0,3.19290668293218
hsa-miR-6805-3p,21.0,4.573897409042881,14.552577761094836,0.0,0.0,0.0,0.0,53.5893370757057
hsa-miR-6805-5p,21.0,0.9460378184755224,3.616831954204435,0.0,0.0,0.0,0.0,16.3785290041595
hsa-miR-6810-5p,21.0,4.65790650183139,21.345209124669307,0.0,0.0,0.0,0.0,97.8160365384592
hsa-miR-6816-3p,21.0,0.7433221907355334,3.4063302047859843,0.0,0.0,0.0,0.0,15.6097660054462
hsa-miR-6817-3p,21.0,0.38467084733926044,1.7627832755749633,0.0,0.0,0.0,0.0,8.07808779412447
hsa-miR-6818-3p,21.0,0.6350536282731095,2.9101813219178725,0.0,0.0,0.0,0.0,13.3361261937353
hsa-miR-6819-3p,21.0,0.4276771918381381,1.6182379081276732,0.0,0.0,0.0,0.0,7.30874609944595
hsa-miR-6820-5p,21.0,12.873224417277982,42.767945710841175,0.0,0.0,0.0,0.0,186.849134192957
hsa-miR-6821-5p,21.0,8.544045391934143,39.15373474967685,0.0,0.0,0.0,0.0,179.424953230617
hsa-miR-6823-5p,21.0,1.6670049654076524,7.639176437847808,0.0,0.0,0.0,0.0,35.0071042735607
hsa-miR-6827-3p,21.0,0.34803552854504527,1.594899154091634,0.0,0.0,0.0,0.0,7.30874609944595
hsa-miR-6835-3p,21.0,0.7792785802676763,3.5711030815343467,0.0,0.0,0.0,0.0,16.3648501856212
hsa-miR-6837-3p,21.0,30.313416358782103,90.3205805373771,0.0,0.0,0.0,0.0,358.849906461235
hsa-miR-6839-5p,21.0,5.865974260207987,26.30189381216239,0.0,0.0,0.0,0.0,120.631134118022
hsa-miR-6840-5p,21.0,0.2791295294720329,1.279132197502998,0.0,0.0,0.0,0.0,5.86172011891269
hsa-miR-6842-3p,21.0,46.15650988096932,122.38688870581316,0.0,0.0,0.0,25.5432534634575,526.614427795364
hsa-miR-6843-3p,21.0,0.8700888213626143,3.987247885229091,0.0,0.0,0.0,0.0,18.2718652486149
hsa-miR-6845-3p,21.0,18.765010384674476,85.99208050440316,0.0,0.0,0.0,0.0,394.065218078164
hsa-miR-6847-5p,21.0,3.224704501267886,14.777452470924905,0.0,0.0,0.0,0.0,67.7187945266256
hsa-miR-6849-5p,21.0,0.9089970465381827,3.971683780307948,0.0,0.0,0.0,0.0,18.2232780287066
hsa-miR-6850-3p,21.0,7.020774524315357,23.528982125623646,0.0,0.0,0.0,0.0,98.6043802192985
hsa-miR-6850-5p,21.0,7.234273576255095,33.15160626120787,0.0,0.0,0.0,0.0,151.919745101357
hsa-miR-6851-5p,21.0,1.1592487527408715,5.312345158718189,0.0,0.0,0.0,0.0,24.3442238075583
hsa-miR-6852-3p,21.0,0.41172487694311,1.301763525786759,0.0,0.0,0.0,0.0,4.51422553201073
hsa-miR-6852-5p,21.0,34.75548539035209,70.44052845271652,0.0,0.0,0.0,40.1981035469527,271.950079606925
hsa-miR-6853-3p,21.0,9.635344408011704,27.136898165871035,0.0,0.0,0.0,0.0,99.5206856473683
hsa-miR-6854-3p,21.0,0.6987271840936666,3.201970211232572,0.0,0.0,0.0,0.0,14.673270865967
hsa-miR-6854-5p,21.0,6.032826245677286,27.64588292533242,0.0,0.0,0.0,0.0,126.689351159223
hsa-miR-6859-5p,21.0,6.3926743361268095,21.901556231865563,0.0,0.0,0.0,0.0,93.9627844824343
hsa-miR-6862-5p,21.0,0.1661078658964986,0.7612018689982784,0.0,0.0,0.0,0.0,3.48826518382647
hsa-miR-6864-3p,21.0,0.5892870569648143,2.7004525445990155,0.0,0.0,0.0,0.0,12.3750281962611
hsa-miR-6865-3p,21.0,4.752101980274967,21.77686703475958,0.0,0.0,0.0,0.0,99.7941415857743
hsa-miR-6867-5p,21.0,1.791502500704381,8.209695817180506,0.0,0.0,0.0,0.0,37.621552514792
hsa-miR-6869-3p,21.0,4.957580794808396,13.671826983244557,0.0,0.0,0.0,0.0,55.9917147573842
hsa-miR-6870-3p,21.0,0.5335734860351666,2.445140888577614,0.0,0.0,0.0,0.0,11.2050432067385
hsa-miR-6871-5p,21.0,1.8133633233282094,6.469631942552488,0.0,0.0,0.0,0.0,28.5563430641647
hsa-miR-6873-3p,21.0,18.852644232058914,81.52601421478232,0.0,0.0,0.0,0.0,374.053718528485
hsa-miR-6873-5p,21.0,4.7264060236208145,12.460878491466781,0.0,0.0,0.0,0.0,42.2208969413077
hsa-miR-6874-3p,21.0,3.827809791121833,17.5412281137089,0.0,0.0,0.0,0.0,80.3840056135585
hsa-miR-6880-3p,21.0,19.104191069934352,83.70801372085467,0.0,0.0,0.0,0.0,384.073014560498
hsa-miR-6881-3p,21.0,4.120455751620076,18.882300379515165,0.0,0.0,0.0,0.0,86.5295707840216
hsa-miR-6882-3p,21.0,0.3423763202058976,1.5689654035039642,0.0,0.0,0.0,0.0,7.18990272432385
hsa-miR-6882-5p,21.0,12.3840499691666,51.55617771615951,0.0,0.0,0.0,0.0,236.250538292257
hsa-miR-6884-3p,21.0,0.30622478328974667,1.403298249096712,0.0,0.0,0.0,0.0,6.43072044908468
hsa-miR-6885-5p,21.0,2.9408204252170527,13.476532203829361,0.0,0.0,0.0,0.0,61.7572289295581
hsa-miR-6886-5p,21.0,0.736608821206019,3.3755656807487746,0.0,0.0,0.0,0.0,15.4687852453264
hsa-miR-6887-3p,21.0,13.279050738752833,51.65209573083814,0.0,0.0,0.0,0.0,234.772333855473
hsa-miR-6891-5p,21.0,11.315644317682242,51.58704452256688,0.0,0.0,0.0,0.0,236.457207941179
hsa-miR-6892-5p,21.0,3.6821230063159427,9.272288904312644,0.0,0.0,0.0,0.0,28.4431125967007
hsa-miR-6895-3p,21.0,2.809060878456433,9.426834130083211,0.0,0.0,0.0,0.0,39.5719651639531
hsa-miR-7-1-3p,21.0,11.22332585428899,30.64020028125574,0.0,0.0,0.0,0.0,117.651056649989
hsa-miR-7-5p,21.0,97.04743099539246,117.77132653378834,0.0,0.0,51.6891381457086,173.131989719047,442.627331769545
hsa-miR-708-3p,21.0,1.7580485620270023,4.924712124828873,0.0,0.0,0.0,0.0,19.0880845763809
