cv_accuracy_mean,cv_accuracy_std,test_accuracy,test_f1,test_auc,feature_set,model,n_features
0.9333333333333332,0.13333333333333336,1.0,1.0,1.0,topk,logreg,100
0.6666666666666667,0.29814239699997197,0.8333333333333334,0.8571428571428571,1.0,topk,knn,100
0.6666666666666666,0.36514837167011077,0.8333333333333334,0.8571428571428571,1.0,topk,rf,100
0.9333333333333332,0.13333333333333336,1.0,1.0,1.0,bio,logreg,100
0.6666666666666667,0.29814239699997197,0.8333333333333334,0.8571428571428571,1.0,bio,knn,100
0.6666666666666666,0.36514837167011077,0.8333333333333334,0.8571428571428571,1.0,bio,rf,100
