,0
hsa-miR-148a-3p,0.04533927138384766
hsa-miR-181c-3p,0.043483467809290896
hsa-miR-589-5p,0.03673085896854426
hsa-miR-125b-2-3p,0.03495040891128921
hsa-miR-125b-5p,0.032588121032265494
hsa-miR-320c,0.03086817257092063
hsa-miR-222-3p,0.030823417297019564
hsa-miR-92a-3p,0.025744709995915722
hsa-miR-143-3p,0.02440597714741834
hsa-miR-454-3p,0.024052916877093385
hsa-miR-23a-3p,0.022507828310391675
hsa-miR-98-5p,0.021892921570950942
hsa-miR-128-3p,0.021845043060830963
hsa-miR-148a-5p,0.02128826414723043
hsa-miR-374a-5p,0.020295232349123282
hsa-miR-140-3p,0.019241510367950715
hsa-miR-30e-5p,0.01888057667874587
hsa-miR-365b-3p,0.01735785177153227
hsa-let-7a-5p,0.017034649469521733
hsa-miR-200b-3p,0.016607922456673096
hsa-let-7f-5p,0.01590632738824102
hsa-miR-199b-3p,0.015276579901579905
hsa-miR-3613-3p,0.015097822818748068
hsa-miR-409-3p,0.015088500841849543
hsa-miR-15b-5p,0.014879775048899284
hsa-miR-18a-3p,0.014373910248301482
hsa-miR-21-3p,0.014226193887131387
hsa-miR-365a-3p,0.014056217978969878
hsa-miR-199a-3p,0.013307390591660894
hsa-miR-455-3p,0.012822847830047585
