PROBE,ILMN_1654552,ILMN_1654861,ILMN_1664644,ILMN_1665877,ILMN_1695763,ILMN_1697268,ILMN_1714602,ILMN_1720430,ILMN_1725528,ILMN_1730670,ILMN_1746533,ILMN_1751530,ILMN_1754400,ILMN_1763386,ILMN_1779536,ILMN_1785340,ILMN_1786275,ILMN_1789751,ILMN_1800540,ILMN_1876197
GSM334354,9.985642734586955,8.365399468749892,9.367995643945287,11.585065815026026,6.883877370334799,11.1635113115305,10.914609367843415,7.758076605472089,8.559487989262733,5.5656580991895055,5.933431005486963,7.308193387957632,9.054756243994401,10.266271200435487,7.711728912630031,6.846204948721999,4.243768080080274,12.172624396829493,10.820585859935576,4.942683396335966
GSM334355,10.749967279351715,7.43017736793358,8.746176734671986,11.85673329408253,6.135539179124897,10.845745401048875,10.92808261407162,8.021699912598107,8.383830371600236,5.879297745403131,5.43965770863697,7.628413970015252,8.775979688485743,9.87133551469033,7.99077507941278,6.7655887138169595,5.585078512782772,11.8754233453609,11.141136614325823,5.516074732609418
GSM334356,10.169173402029173,8.330249141122891,9.988599485730326,12.714730628179256,6.862736529749066,11.004648856445955,10.803525736911427,8.02024104542568,8.939914139252938,6.070711322098937,5.5430627624444035,7.2481268193856545,8.270734493092476,10.15711952242496,7.580793707155541,6.736713100440205,4.89884199285061,11.794359002249251,12.029684086086306,5.192426966541442
GSM334357,10.219797746833217,8.726010341773563,9.92392167613636,12.391415456484367,6.9122546502749564,11.792708967598436,11.511263437922857,8.24620379233331,8.82394356598084,6.427103287152841,5.715179532044391,6.277073479446463,8.8146785889699,10.54501271494787,7.001318111109577,6.720127948604859,5.531693360861466,12.001728366786505,11.70675500649037,5.0096517329525
GSM334358,10.398026120046401,9.431693655386402,9.827580757064695,12.067699077059437,7.686817815165776,11.125464486997679,10.77867454119224,10.335939077428083,8.979542721242877,6.780920149196528,4.882472214373807,6.987191463297813,8.121465499270268,9.88972191025793,7.297399073388763,6.13812104538552,4.0,12.147233963022398,11.797343287345013,4.0
GSM334359,9.473805172434004,9.462702661392704,10.841320602093347,12.307106865797417,7.781320366759722,12.249735680793709,11.116766310120301,7.867118088062667,7.343052434922969,7.8177063891390075,5.75384517930536,7.221616119868657,9.03670113028536,10.201572604135444,7.180008582793905,6.626015611417935,4.689802338489335,11.838526381414175,12.782357369183407,4.968427188015062
GSM334360,10.310408290705213,8.891075849710512,9.819171596893495,11.94559746205143,6.615328009535316,11.288646943170024,10.806831528145839,8.590276397305592,8.409000507007374,6.551961984472361,5.5688833599303145,6.463671496141734,8.153318952400475,10.317333466881617,7.066509018221581,6.5207522390611965,4.143442400264608,12.176176266422706,11.078978018201452,5.177742426339694
GSM334361,10.352837958636957,8.893720170252617,9.756756451307275,12.228611288176355,6.903291394595945,11.50167798218299,11.069046911268172,8.06943902605664,8.737081681362145,6.591335335741399,5.8470698775899255,6.533205121684762,8.638978858878353,10.28648845513745,7.338780943894699,6.666515175863263,4.989570479455708,11.915375243583103,11.570591005511535,5.16663913112799
GSM334362,10.307872468138516,8.860826266574705,9.880685525261125,11.771146912563902,6.736713100440205,11.518825246044587,10.798253071629263,8.333893284596998,8.697172617697799,6.0506322915696735,5.543124644831909,6.656296141249272,8.326186770344282,10.146250445885986,7.66471037684349,6.458037432945128,4.541031547367612,11.879368820402442,11.173221147634814,4.901899866439952
GSM334363,10.385366321550626,8.478259986164087,9.634914484976088,12.30971223622791,7.182354622873548,11.474993657497127,11.402116720842066,7.946742555091618,9.004610938517008,6.759089238142084,5.659781879764979,7.142147911804885,8.880654917862435,10.559147617798207,7.205431614125049,6.840652055941782,5.831826583875321,12.2486303001443,11.30582805875601,5.340423404726088
GSM334364,10.181885223159604,8.95218502543997,9.511092420327584,12.30281311041643,6.781058027566024,11.764278637316778,11.318305541987469,8.233868891586038,8.653303695010877,7.030876766949301,5.563188643934622,7.397640409976527,8.920966130988898,10.612877709873636,7.5915373063899025,6.779863781547206,5.547295581349944,12.228611288176355,11.497697182928132,5.070848684424448
GSM334365,10.070540271624344,7.5590568130098115,8.834510522086212,13.5257558151548,6.964657503882363,12.312492172456551,11.95678030211167,8.349770147142728,8.637182813776084,7.896500491554534,5.936992857207749,8.427827680191905,9.378056525985505,10.5311781041676,7.792149315576972,6.80414922420054,6.533963366539236,12.770100062260049,12.107081563147238,5.733173178809951
GSM334366,10.382969799677237,9.28923506167789,10.07479708423204,11.8197360317364,6.46229776553889,11.822606678807853,11.463013413449692,7.943100847570798,8.24941215568417,6.158882297740226,6.779325391448742,7.632798948198248,9.318732595783528,10.288393170954613,8.011311130603701,7.228837926301521,4.0,11.861660767294133,11.110411532158016,6.489671374996299
GSM334367,9.775643199837265,9.412061691571136,9.940445746364347,12.722871554676768,6.790237703945834,11.79606800805893,11.25841292343469,9.103193374373289,8.35893685479757,7.592681272956052,5.395953923273445,7.467703356600841,8.838384558357694,10.575246140087637,7.219875171115461,6.995970611638876,5.255262782145143,12.90581004828476,11.473726040546214,4.8760159067397035
GSM334368,9.846935158275286,9.185653494255465,9.647641899693367,12.578304282027696,7.537824088791626,12.170782599016045,11.160697118975865,9.111099145847286,8.181042901159012,7.608380509344305,6.043563237542944,6.778169143596775,9.050934245209387,10.387047985516354,7.099474057134433,6.806375618121289,4.668272329130581,12.830370613325353,10.976062851959353,5.125832914740105
GSM334369,10.363817183386708,9.727564840852462,9.75401895208599,11.651984475909485,6.959167361060876,11.21073221570989,10.798253071629263,9.882474928915547,8.940921383348531,6.600507645345786,4.373112233743935,7.014143247647112,8.140666196429166,9.89598417735478,7.774213820303831,6.36392447471545,4.0,11.69850934284818,11.54206938028687,4.47965094103048
GSM334370,10.123086750981061,8.926518386946732,9.627592247693403,12.402468513180088,7.101030192478925,11.745317177066063,11.43937899727637,8.996987485260952,8.808220923174796,6.90442388399708,5.796234335175764,6.529977073907332,8.54325613609272,10.459677511608529,7.183982678112831,6.7985301233606625,5.319227729531646,12.47789484050554,11.608689136270337,4.911135485924233
