input_miR,query_variant,library_key,n_genes
hsa-miR-30c-5p,hsa-miR-30c-5p,hsa-miR-30c-5p,520
hsa-miR-30d-3p,hsa-miR-30d-3p,hsa-miR-30d-3p,160
hsa-miR-30e-3p,hsa-miR-30e-3p,hsa-miR-30e-3p,174
hsa-miR-320b,hsa-miR-320b,hsa-miR-320b,145
hsa-miR-320c,hsa-miR-320c,hsa-miR-320c,108
hsa-miR-320d,hsa-miR-320d,hsa-miR-320d,79
hsa-miR-323b-3p,hsa-miR-323b-3p,hsa-miR-323b-3p,44
hsa-miR-324-3p,hsa-miR-324-3p,hsa-miR-324-3p,338
hsa-miR-324-5p,hsa-miR-324-5p,hsa-miR-324-5p,297
hsa-miR-331-3p,hsa-miR-331-3p,hsa-miR-331-3p,405
hsa-miR-335-5p,hsa-miR-335,hsa-miR-335-3p,305
hsa-miR-337-3p,hsa-miR-337-3p,hsa-miR-337-3p,81
hsa-miR-339-3p,hsa-miR-339-3p,hsa-miR-339-3p,14
hsa-miR-340-3p,hsa-miR-340-3p,hsa-miR-340-3p,132
hsa-miR-340-5p,hsa-miR-340-5p,hsa-miR-340-5p,340
hsa-miR-34a-5p,hsa-miR-34a-5p,hsa-miR-34a-5p,735
hsa-miR-34c-5p,hsa-miR-34c-5p,hsa-miR-34c-5p,174
hsa-miR-361-3p,hsa-miR-361-3p,hsa-miR-361-3p,143
hsa-miR-3613-3p,hsa-miR-3613-3p,hsa-miR-3613-3p,506
hsa-miR-365a-3p,hsa-miR-365a-3p,hsa-miR-365a-3p,124
hsa-miR-365b-3p,hsa-miR-365b-3p,hsa-miR-365b-3p,87
hsa-miR-369-3p,hsa-miR-369-3p,hsa-miR-369-3p,163
hsa-miR-374a-3p,hsa-miR-374a-3p,hsa-miR-374a-3p,75
hsa-miR-374a-5p,hsa-miR-374a-5p,hsa-miR-374a-5p,282
hsa-miR-378a-3p,hsa-miR-378a-3p,hsa-miR-378a-3p,166
hsa-miR-379-5p,hsa-miR-379-5p,hsa-miR-379-5p,85
hsa-miR-382-5p,hsa-miR-382-5p,hsa-miR-382-5p,111
hsa-miR-409-3p,hsa-miR-409-3p,hsa-miR-409-3p,111
hsa-miR-410-3p,hsa-miR-410-3p,hsa-miR-410-3p,250
hsa-miR-411-5p,hsa-miR-411-5p,hsa-miR-411-5p,215
hsa-miR-424-5p,hsa-miR-424-5p,hsa-miR-424-5p,471
hsa-miR-425-3p,hsa-miR-425-3p,hsa-miR-425-3p,48
hsa-miR-432-5p,hsa-miR-432-5p,hsa-miR-432-5p,94
hsa-miR-433-3p,hsa-miR-433-3p,hsa-miR-433-3p,81
hsa-miR-4446-3p,hsa-miR-4446-3p,hsa-miR-4446-3p,84
hsa-miR-4508,hsa-miR-4508,hsa-miR-4508,40
hsa-miR-454-3p,hsa-miR-454-3p,hsa-miR-454-3p,396
hsa-miR-455-3p,hsa-miR-455-3p,hsa-miR-455-3p,781
hsa-miR-4690-5p,hsa-miR-4690-5p,hsa-miR-4690-5p,64
hsa-miR-4728-3p,hsa-miR-4728-3p,hsa-miR-4728-3p,47
hsa-miR-4732-3p,hsa-miR-4732-3p,hsa-miR-4732-3p,76
hsa-miR-4745-5p,hsa-miR-4745-5p,hsa-miR-4745-5p,128
hsa-miR-4755-3p,hsa-miR-4755-3p,hsa-miR-4755-3p,295
hsa-miR-487b-3p,hsa-miR-487b-3p,hsa-miR-487b-3p,20
hsa-miR-493-5p,hsa-miR-493-5p,hsa-miR-493-5p,115
hsa-miR-495-3p,hsa-miR-495-3p,hsa-miR-495-3p,184
hsa-miR-501-3p,hsa-miR-501-3p,hsa-miR-501-3p,69
hsa-miR-526b-5p,hsa-miR-526b-5p,hsa-miR-526b-5p,247
hsa-miR-532-5p,hsa-miR-532-5p,hsa-miR-532-5p,64
hsa-miR-542-3p,hsa-miR-542-3p,hsa-miR-542-3p,176
hsa-miR-543,hsa-miR-543,hsa-miR-543,107
hsa-miR-548e-3p,hsa-miR-548e-3p,hsa-miR-548e-3p,166
hsa-miR-548j-5p,hsa-miR-548j-5p,hsa-miR-548j-5p,200
hsa-miR-548k,hsa-miR-548k,hsa-miR-548k,149
hsa-miR-548l,hsa-miR-548l,hsa-miR-548l,172
hsa-miR-5696,hsa-miR-5696,hsa-miR-5696,163
hsa-miR-574-3p,hsa-miR-574-3p,hsa-miR-574-3p,25
hsa-miR-582-3p,hsa-miR-582-3p,hsa-miR-582-3p,55
hsa-miR-584-5p,hsa-miR-584-5p,hsa-miR-584-5p,67
hsa-miR-592,hsa-miR-592,hsa-miR-592,54
hsa-miR-6087,hsa-miR-6087,hsa-miR-6087,269
hsa-miR-6089,hsa-miR-6089,hsa-miR-6089,178
hsa-miR-625-3p,hsa-miR-625-3p,hsa-miR-625-3p,39
hsa-miR-625-5p,hsa-miR-625-5p,hsa-miR-625-5p,227
hsa-miR-628-3p,hsa-miR-628-3p,hsa-miR-628-3p,30
hsa-miR-629-5p,hsa-miR-629-5p,hsa-miR-629-5p,62
hsa-miR-6508-3p,hsa-miR-6508-3p,hsa-miR-6508-3p,74
hsa-miR-6510-3p,hsa-miR-6510-3p,hsa-miR-6510-3p,52
hsa-miR-6511a-3p,hsa-miR-6511a-3p,hsa-miR-6511a-3p,78
hsa-miR-671-3p,hsa-miR-671-3p,hsa-miR-671-3p,15
hsa-miR-6802-5p,hsa-miR-6802-5p,hsa-miR-6802-5p,47
hsa-miR-6882-5p,hsa-miR-6882-5p,hsa-miR-6882-5p,69
hsa-miR-7-5p,hsa-miR-7-5p,hsa-miR-7-5p,577
hsa-miR-708-5p,hsa-miR-708-5p,hsa-miR-708-5p,104
hsa-miR-758-3p,hsa-miR-758-3p,hsa-miR-758-3p,58
hsa-miR-766-3p,hsa-miR-766-3p,hsa-miR-766-3p,608
hsa-miR-767-5p,hsa-miR-767-5p,hsa-miR-767-5p,187
hsa-miR-769-5p,hsa-miR-769-5p,hsa-miR-769-5p,229
hsa-miR-7848-3p,hsa-miR-7848-3p,hsa-miR-7848-3p,30
hsa-miR-7849-3p,hsa-miR-7849-3p,hsa-miR-7849-3p,76
hsa-miR-7854-3p,hsa-miR-7854-3p,hsa-miR-7854-3p,152
hsa-miR-9-5p,hsa-miR-9-5p,hsa-miR-9-5p,351
hsa-miR-92a-3p,hsa-miR-92a-3p,hsa-miR-92a-3p,1404
hsa-miR-941,hsa-miR-941,hsa-miR-941,55
hsa-miR-942-5p,hsa-miR-942-5p,hsa-miR-942-5p,201
hsa-miR-95-3p,hsa-miR-95-3p,hsa-miR-95-3p,12
hsa-miR-98-3p,hsa-miR-98-3p,hsa-miR-98-3p,114
hsa-miR-99a-5p,hsa-miR-99a-5p,hsa-miR-99a-5p,133
hsa-miR-99b-3p,hsa-miR-99b-3p,hsa-miR-99b-3p,50
